State,Role,Type,SubType,Value
State3,Role1,Candidate_count,Candidate_count,25
State1,Role1,TAT_Score,TAT1,12
State1,Role1,TAT_Score,TAT2,16
State1,Role1,TAT_Score,TAT3,25
State3,Role1,TAT_Cand_count,TAT1,25
State1,Role2,TAT_Score,TAT1,12
State1,Role2,TAT_Score,TAT2,6
State1,Role2,TAT_Score,TAT3,20
State3,Role1,TAT_Cand_count,TAT2,25
State1,Role3,TAT_Score,TAT1,27
State1,Role3,TAT_Score,TAT2,29
State1,Role3,TAT_Score,TAT3,16
State3,Role1,TAT_Cand_count,TAT3,25
State2,Role1,TAT_Score,TAT1,30
State2,Role1,TAT_Score,TAT2,8
State2,Role1,TAT_Score,TAT3,23
State3,Role2,Candidate_count,Candidate_count,12
State2,Role2,TAT_Score,TAT1,8
State2,Role2,TAT_Score,TAT2,29
State2,Role2,TAT_Score,TAT3,12
State3,Role2,TAT_Cand_count,TAT1,12
State2,Role3,TAT_Score,TAT1,26
State2,Role3,TAT_Score,TAT2,15
State2,Role3,TAT_Score,TAT3,21
State3,Role2,TAT_Cand_count,TAT2,12
State3,Role1,TAT_Score,TAT1,1
State3,Role1,TAT_Score,TAT2,24
State3,Role1,TAT_Score,TAT3,2
State3,Role2,TAT_Cand_count,TAT3,12
State3,Role2,TAT_Score,TAT1,15
State3,Role2,TAT_Score,TAT2,25
State3,Role2,TAT_Score,TAT3,12
State3,Role3,Candidate_count,Candidate_count,21
State3,Role3,TAT_Score,TAT1,13
State3,Role3,TAT_Score,TAT2,22
State3,Role3,TAT_Score,TAT3,12
State3,Role3,TAT_Cand_count,TAT1,21
State3,Role3,TAT_Cand_count,TAT2,21
State3,Role3,TAT_Cand_count,TAT3,21
State2,Role1,Candidate_count,Candidate_count,23
State2,Role1,TAT_Cand_count,TAT1,23
State2,Role1,TAT_Cand_count,TAT2,23
State2,Role1,TAT_Cand_count,TAT3,23
State2,Role2,Candidate_count,Candidate_count,5
State2,Role2,TAT_Cand_count,TAT1,5
State2,Role2,TAT_Cand_count,TAT2,5
State2,Role2,TAT_Cand_count,TAT3,5
State2,Role3,Candidate_count,Candidate_count,18
State2,Role3,TAT_Cand_count,TAT1,18
State2,Role3,TAT_Cand_count,TAT2,18
State2,Role3,TAT_Cand_count,TAT3,18
State1,Role1,Candidate_count,Candidate_count,29
State1,Role1,TAT_Cand_count,TAT1,29
State1,Role1,TAT_Cand_count,TAT2,29
State1,Role1,TAT_Cand_count,TAT3,29
State1,Role2,Candidate_count,Candidate_count,3
State1,Role2,TAT_Cand_count,TAT1,3
State1,Role2,TAT_Cand_count,TAT2,3
State1,Role2,TAT_Cand_count,TAT3,3
State1,Role3,Candidate_count,Candidate_count,28
State1,Role3,TAT_Cand_count,TAT1,28
State1,Role3,TAT_Cand_count,TAT2,28
State1,Role3,TAT_Cand_count,TAT3,28
