,CandidateID,DOJ Joined Date,Address_State,variable,value
1,10014,12/31/2016,NA,TAT_RECRUITER_BUSINESS_SCREENING,5
2,10017,12/31/2016,TAMIL NADU,TAT_RECRUITER_BUSINESS_SCREENING,3
3,10065,12/19/2016,RAJASTHAN,TAT_RECRUITER_BUSINESS_SCREENING,2
4,10098,12/5/2016,GUJARAT,TAT_RECRUITER_BUSINESS_SCREENING,4
5,10118,12/9/2016,CHATTISGARH,TAT_RECRUITER_BUSINESS_SCREENING,3
6,10122,12/28/2016,TAMIL NADU,TAT_RECRUITER_BUSINESS_SCREENING,4
7,10175,12/24/2016,JAMMU & KASHMIR,TAT_RECRUITER_BUSINESS_SCREENING,2
8,10190,12/24/2016,ASSAM,TAT_RECRUITER_BUSINESS_SCREENING,1
9,10194,12/7/2016,TRIPURA,TAT_RECRUITER_BUSINESS_SCREENING,2
10,10204,12/11/2016,WEST BENGAL,TAT_RECRUITER_BUSINESS_SCREENING,5
11,10205,12/2/2016,WEST BENGAL,TAT_RECRUITER_BUSINESS_SCREENING,5
12,10281,12/12/2016,KERALA,TAT_RECRUITER_BUSINESS_SCREENING,4
13,10311,12/26/2016,TELANGANA,TAT_RECRUITER_BUSINESS_SCREENING,3
14,10313,12/28/2016,MAHARASHTRA,TAT_RECRUITER_BUSINESS_SCREENING,4
15,10320,12/1/2016,TELANGANA,TAT_RECRUITER_BUSINESS_SCREENING,3
16,10324,12/2/2016,MAHARASHTRA,TAT_RECRUITER_BUSINESS_SCREENING,4
17,10355,12/12/2016,TAMIL NADU,TAT_RECRUITER_BUSINESS_SCREENING,3
18,10396,12/28/2016,UTTAR PRADESH,TAT_RECRUITER_BUSINESS_SCREENING,3
19,10435,12/6/2016,BIHAR,TAT_RECRUITER_BUSINESS_SCREENING,5
20,1044,12/14/2016,TELANGANA,TAT_RECRUITER_BUSINESS_SCREENING,2
21,10453,12/10/2016,ARUNACHAL PRADESH,TAT_RECRUITER_BUSINESS_SCREENING,5
22,10462,12/7/2016,MADHYA PRADESH,TAT_RECRUITER_BUSINESS_SCREENING,1
23,10508,12/20/2016,MAHARASHTRA,TAT_RECRUITER_BUSINESS_SCREENING,5
24,10535,12/30/2016,TELANGANA,TAT_RECRUITER_BUSINESS_SCREENING,4
25,10590,12/30/2016,GUJARAT,TAT_RECRUITER_BUSINESS_SCREENING,3
26,10603,12/16/2016,MAHARASHTRA,TAT_RECRUITER_BUSINESS_SCREENING,3
27,1068,12/3/2016,BIHAR,TAT_RECRUITER_BUSINESS_SCREENING,2
28,10689,12/6/2016,MAHARASHTRA,TAT_RECRUITER_BUSINESS_SCREENING,5
29,10715,12/12/2016,HIMACHAL PRADESH,TAT_RECRUITER_BUSINESS_SCREENING,1
30,10719,12/31/2016,WEST BENGAL,TAT_RECRUITER_BUSINESS_SCREENING,3
31,10725,12/24/2016,MAHARASHTRA,TAT_RECRUITER_BUSINESS_SCREENING,2
32,10736,12/28/2016,MADHYA PRADESH,TAT_RECRUITER_BUSINESS_SCREENING,4
33,10738,12/9/2016,ODISHA,TAT_RECRUITER_BUSINESS_SCREENING,2
34,10759,12/1/2016,KARNATAKA,TAT_RECRUITER_BUSINESS_SCREENING,0
35,10772,12/6/2016,TAMIL NADU,TAT_RECRUITER_BUSINESS_SCREENING,5
36,10787,12/7/2016,MAHARASHTRA,TAT_RECRUITER_BUSINESS_SCREENING,5
37,10799,12/4/2016,MADHYA PRADESH,TAT_RECRUITER_BUSINESS_SCREENING,2
38,10817,12/13/2016,DELHI,TAT_RECRUITER_BUSINESS_SCREENING,3
39,10834,12/19/2016,ANDHRA PRADESH,TAT_RECRUITER_BUSINESS_SCREENING,2
40,10866,12/21/2016,GUJARAT,TAT_RECRUITER_BUSINESS_SCREENING,4
41,10867,12/22/2016,TAMIL NADU,TAT_RECRUITER_BUSINESS_SCREENING,1
42,10889,12/5/2016,TAMIL NADU,TAT_RECRUITER_BUSINESS_SCREENING,4
43,10890,12/20/2016,KARNATAKA,TAT_RECRUITER_BUSINESS_SCREENING,3
44,10912,12/20/2016,KARNATAKA,TAT_RECRUITER_BUSINESS_SCREENING,0
45,10920,12/20/2016,MADHYA PRADESH,TAT_RECRUITER_BUSINESS_SCREENING,1
46,10933,12/22/2016,ASSAM,TAT_RECRUITER_BUSINESS_SCREENING,1
47,10954,12/6/2016,MAHARASHTRA,TAT_RECRUITER_BUSINESS_SCREENING,2
48,1097,12/5/2016,TELANGANA,TAT_RECRUITER_BUSINESS_SCREENING,2
49,10976,12/12/2016,UTTAR PRADESH,TAT_RECRUITER_BUSINESS_SCREENING,1
50,11013,12/12/2016,MAHARASHTRA,TAT_RECRUITER_BUSINESS_SCREENING,0
51,11038,12/26/2016,WEST BENGAL,TAT_RECRUITER_BUSINESS_SCREENING,5
52,11041,12/26/2016,WEST BENGAL,TAT_RECRUITER_BUSINESS_SCREENING,3
53,11045,12/14/2016,TELANGANA,TAT_RECRUITER_BUSINESS_SCREENING,0
54,11087,12/9/2016,MAHARASHTRA,TAT_RECRUITER_BUSINESS_SCREENING,1
55,11096,12/4/2016,TELANGANA,TAT_RECRUITER_BUSINESS_SCREENING,3
56,11109,12/14/2016,TELANGANA,TAT_RECRUITER_BUSINESS_SCREENING,2
57,11123,12/5/2016,GUJARAT,TAT_RECRUITER_BUSINESS_SCREENING,4
58,11127,12/24/2016,CHATTISGARH,TAT_RECRUITER_BUSINESS_SCREENING,3
